id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,FC BAYERN MÜNCHEN,78,34,24,6,4,88,32,56
2,BORUSSIA DORTMUND,76,34,23,7,4,81,44,37
3,RB LEIPZIG,66,34,19,9,6,63,29,34
4,BAYER 04 LEVERKUSEN,58,34,18,4,12,69,52,17
5,BORUSSIA M'GLADBACH,55,34,16,7,11,55,42,13
6,VFL WOLFSBURG,55,34,16,7,11,62,50,12
7,EINTRACHT FRANKFURT,54,34,15,9,10,60,48,12
8,SV WERDER BREMEN,53,34,14,11,9,58,49,9
9,TSG HOFFENHEIM,51,34,13,12,9,70,52,18
10,FORTUNA DÜSSELDORF,44,34,13,5,16,49,65,-16
11,HERTHA BSC,43,34,11,10,13,49,57,-8
12,1. FSV MAINZ 05,43,34,12,7,15,46,57,-11
13,SC FREIBURG,36,34,8,12,14,46,61,-15
14,FC SCHALKE 04,33,34,8,9,17,37,55,-18
15,FC AUGSBURG,32,34,8,8,18,51,71,-20
16,VFB STUTTGART,28,34,7,7,20,32,70,-38
17,HANNOVER 96,21,34,5,6,23,31,71,-40
18,1. FC NÜRNBERG,19,34,3,10,21,26,68,-42
