id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,MANCHESTER CITY,89,38,28,5,5,94,33,61
2,ARSENAL,84,38,26,6,6,88,43,45
3,MANCHESTER UNITED,75,38,23,6,9,58,43,15
4,NEWCASTLE UNITED,71,38,19,14,5,68,33,35
5,LIVERPOOL,67,38,19,10,9,75,47,28
6,BRIGHTON & HOVE ALBION,62,38,18,8,12,72,53,19
7,ASTON VILLA,61,38,18,7,13,51,46,5
8,TOTTENHAM HOTSPUR,60,38,18,6,14,70,63,7
9,BRENTFORD,59,38,15,14,9,58,46,12
10,FULHAM,52,38,15,7,16,55,53,2
11,CRYSTAL PALACE,45,38,11,12,15,40,49,-9
12,CHELSEA,44,38,11,11,16,38,47,-9
13,WOLVERHAMPTON WANDERERS,41,38,11,8,19,31,58,-27
14,WEST HAM UNITED,40,38,11,7,20,42,55,-13
15,BOURNEMOUTH,39,38,11,6,21,37,71,-34
16,NOTTINGHAM FOREST,38,38,9,11,18,38,68,-30
17,EVERTON,36,38,8,12,18,34,57,-23
18,LEICESTER CITY,34,38,9,7,22,51,68,-17
19,LEEDS UNITED,31,38,7,10,21,48,78,-30
20,SOUTHAMPTON,25,38,6,7,25,36,73,-37
