id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,LIVERPOOL,99,38,32,3,3,85,33,52
2,MANCHESTER CITY,81,38,26,3,9,102,35,67
3,MANCHESTER UNITED,66,38,18,12,8,66,36,30
4,CHELSEA,66,38,20,6,12,69,54,15
5,LEICESTER CITY,62,38,18,8,12,67,41,26
6,TOTTENHAM HOTSPUR,59,38,16,11,11,61,47,14
7,WOLVERHAMPTON WANDERERS,59,38,15,14,9,51,40,11
8,ARSENAL,56,38,14,14,10,56,48,8
9,SHEFFIELD UNITED,54,38,14,12,12,39,39,0
10,BURNLEY,54,38,15,9,14,43,50,-7
11,SOUTHAMPTON,52,38,15,7,16,51,60,-9
12,EVERTON,49,38,13,10,15,44,56,-12
13,NEWCASTLE UNITED,44,38,11,11,16,38,58,-20
14,CRYSTAL PALACE,43,38,11,10,17,31,50,-19
15,BRIGHTON & HOVE ALBION,41,38,9,14,15,39,54,-15
16,WEST HAM UNITED,39,38,10,9,19,49,62,-13
17,ASTON VILLA,35,38,9,8,21,41,67,-26
18,BOURNEMOUTH,34,38,9,7,22,40,65,-25
19,WATFORD,34,38,8,10,20,36,64,-28
20,NORWICH CITY,21,38,5,6,27,26,75,-49
