id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,MANCHESTER CITY,98,38,32,2,4,95,23,72
2,LIVERPOOL,97,38,30,7,1,89,22,67
3,CHELSEA,72,38,21,9,8,63,39,24
4,TOTTENHAM HOTSPUR,71,38,23,2,13,67,39,28
5,ARSENAL,70,38,21,7,10,73,51,22
6,MANCHESTER UNITED,66,38,19,9,10,65,54,11
7,WOLVERHAMPTON WANDERERS,57,38,16,9,13,47,46,1
8,EVERTON,54,38,15,9,14,54,46,8
9,LEICESTER CITY,52,38,15,7,16,51,48,3
10,WEST HAM UNITED,52,38,15,7,16,52,55,-3
11,WATFORD,50,38,14,8,16,52,59,-7
12,CRYSTAL PALACE,49,38,14,7,17,51,53,-2
13,NEWCASTLE UNITED,45,38,12,9,17,42,48,-6
14,BOURNEMOUTH,45,38,13,6,19,56,70,-14
15,BURNLEY,40,38,11,7,20,45,68,-23
16,SOUTHAMPTON,39,38,9,12,17,45,65,-20
17,BRIGHTON & HOVE ALBION,36,38,9,9,20,35,60,-25
18,CARDIFF CITY,34,38,10,4,24,34,69,-35
19,FULHAM,26,38,7,5,26,34,81,-47
20,HUDDERSFIELD TOWN,16,38,3,7,28,22,76,-54
