id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,INTER,91,38,28,7,3,89,35,54
2,MILAN,79,38,24,7,7,74,41,33
3,ATALANTA,78,38,23,9,6,90,47,43
4,JUVENTUS,78,38,23,9,6,77,38,39
5,NAPOLI,77,38,24,5,9,86,41,45
6,LAZIO,68,38,21,5,12,61,55,6
7,ROMA,62,38,18,8,12,68,58,10
8,SASSUOLO,62,38,17,11,10,64,56,8
9,SAMPDORIA,52,38,15,7,16,52,54,-2
10,HELLAS VERONA,45,38,11,12,15,46,48,-2
11,GENOA,42,38,10,12,16,47,58,-11
12,BOLOGNA,41,38,10,11,17,51,65,-14
13,FIORENTINA,40,38,9,13,16,47,59,-12
14,UDINESE,40,38,10,10,18,42,58,-16
15,SPEZIA,39,38,9,12,17,52,72,-20
16,CAGLIARI,37,38,9,10,19,43,59,-16
17,TORINO,37,38,7,16,15,50,69,-19
18,BENEVENTO,33,38,7,12,19,40,75,-35
19,CROTONE,23,38,6,5,27,45,92,-47
20,PARMA,20,38,3,11,24,39,83,-44
