id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,JUVENTUS,90,38,28,6,4,70,30,40
2,NAPOLI,79,38,24,7,7,74,36,38
3,ATALANTA,69,38,20,9,9,77,46,31
4,INTER,69,38,20,9,9,57,33,24
5,MILAN,68,38,19,11,8,55,36,19
6,ROMA,66,38,18,12,8,66,48,18
7,TORINO,63,38,16,15,7,52,37,15
8,LAZIO,59,38,17,8,13,56,46,10
9,SAMPDORIA,53,38,15,8,15,60,51,9
10,BOLOGNA,44,38,11,11,16,48,56,-8
11,SASSUOLO,43,38,9,16,13,53,60,-7
12,UDINESE,43,38,11,10,17,39,53,-14
13,SPAL,42,38,11,9,18,44,56,-12
14,PARMA,41,38,10,11,17,41,61,-20
15,CAGLIARI,41,38,10,11,17,36,54,-18
16,FIORENTINA,41,38,8,17,13,47,45,2
17,GENOA,38,38,8,14,16,39,57,-18
18,EMPOLI,38,38,10,8,20,51,70,-19
19,FROSINONE,25,38,5,10,23,29,69,-40
20,CHIEVOVERONA,17,38,2,14,22,25,75,-50
