id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,PARIS SAINT-GERMAIN,68,27,22,2,3,75,24,51
2,OLYMPIQUE DE MARSEILLE,56,28,16,8,4,41,29,12
3,STADE RENNAIS FC,50,28,15,5,8,38,24,14
4,LOSC LILLE,49,28,15,4,9,35,27,8
5,OGC NICE,41,28,11,8,9,41,38,3
6,STADE DE REIMS,41,28,10,11,7,26,21,5
7,OLYMPIQUE LYONNAIS,40,28,11,7,10,42,27,15
8,MONTPELLIER HÉRAULT SC,40,28,11,7,10,35,34,1
9,AS MONACO,40,28,11,7,10,44,44,0
10,RC STRASBOURG ALSACE,38,27,11,5,11,32,32,0
11,ANGERS SCO,39,28,11,6,11,28,33,-5
12,FC GIRONDINS DE BORDEAUX,37,28,9,10,9,40,34,6
13,FC NANTES,37,28,11,4,13,28,31,-3
14,STADE BRESTOIS 29,34,28,8,10,10,34,37,-3
15,FC METZ,34,28,8,10,10,27,35,-8
16,DIJON FCO,30,28,7,9,12,27,37,-10
17,AS SAINT-ÉTIENNE,30,28,8,6,14,29,45,-16
18,NÎMES OLYMPIQUE,27,28,7,6,15,29,44,-15
19,AMIENS SC,23,28,4,11,13,31,50,-19
20,TOULOUSE FC,13,28,3,4,21,22,58,-36
