id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,PARIS SAINT-GERMAIN,85,38,27,4,7,89,40,49
2,RC LENS,84,38,25,9,4,68,29,39
3,OLYMPIQUE DE MARSEILLE,73,38,22,7,9,67,40,27
4,STADE RENNAIS FC,68,38,21,5,12,69,39,30
5,LOSC LILLE,67,38,19,10,9,65,44,21
6,AS MONACO,65,38,19,8,11,70,58,12
7,OLYMPIQUE LYONNAIS,62,38,18,8,12,65,47,18
8,CLERMONT FOOT 63,59,38,17,8,13,45,49,-4
9,OGC NICE,58,38,15,13,10,48,37,11
10,FC LORIENT,55,38,15,10,13,52,53,-1
11,STADE DE REIMS,51,38,12,15,11,45,45,0
12,MONTPELLIER HÉRAULT SC,50,38,15,5,18,65,62,3
13,TOULOUSE FC,48,38,13,9,16,51,57,-6
14,STADE BRESTOIS 29,44,38,11,11,16,44,54,-10
15,RC STRASBOURG ALSACE,40,38,9,13,16,51,59,-8
16,FC NANTES,36,38,7,15,16,37,55,-18
17,AJ AUXERRE,35,38,8,11,19,35,63,-28
18,AC AJACCIO,26,38,7,5,26,23,74,-51
19,ESTAC TROYES,24,38,4,12,22,45,81,-36
20,ANGERS SCO,18,38,4,6,28,33,81,-48
