id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,LOSC LILLE,83,38,24,11,3,64,23,41
2,PARIS SAINT-GERMAIN,82,38,26,4,8,86,28,58
3,AS MONACO,78,38,24,6,8,76,42,34
4,OLYMPIQUE LYONNAIS,76,38,22,10,6,81,43,38
5,OLYMPIQUE DE MARSEILLE,60,38,16,12,10,54,47,7
6,STADE RENNAIS FC,58,38,16,10,12,52,40,12
7,RC LENS,57,38,15,12,11,55,54,1
8,MONTPELLIER HÉRAULT SC,54,38,14,12,12,60,62,-2
9,OGC NICE,52,38,15,7,16,50,53,-3
10,FC METZ,47,38,12,11,15,44,48,-4
11,AS SAINT-ÉTIENNE,46,38,12,10,16,42,54,-12
12,FC GIRONDINS DE BORDEAUX,45,38,13,6,19,42,56,-14
13,ANGERS SCO,44,38,12,8,18,40,58,-18
14,STADE DE REIMS,42,38,9,15,14,42,50,-8
15,RC STRASBOURG ALSACE,42,38,11,9,18,49,58,-9
16,FC LORIENT,42,38,11,9,18,50,68,-18
17,STADE BRESTOIS 29,41,38,11,8,19,50,66,-16
18,FC NANTES,40,38,9,13,16,47,55,-8
19,NÎMES OLYMPIQUE,35,38,9,8,21,40,71,-31
20,DIJON FCO,21,38,4,9,25,25,73,-48
